captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,bucket,stat,pred,gap,support,win,profit,stake
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lachie Whitfield,Tackles Over,Over,1.5,1.43,Unibet,54.5,$50,1,Tackles,Tackles,2.4112,0.9112,Wheelo lean support,False,-50.0,50.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Harry Rowston,Tackles Over,Over,3.5,1.45,SportsBet,54.4,$45,0,Tackles,Tackles,2.575,-0.9249999999999998,Wheelo lean against,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Max Hall,Tackles Over,Over,3.5,2.70,SportsBet,54.3,$25,5,Tackles,Tackles,3.34,-0.16000000000000014,Wheelo neutral,True,42.50000000000001,25.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Dylan Moore,Tackles Over,Over,1.5,1.12,SportsBet,54.0,$90,2,Tackles,Tackles,2.7865,1.2865000000000002,Wheelo strong support,True,10.80000000000001,90.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Mattaes Phillipou,Tackles Over,Over,1.5,1.14,SportsBet,53.9,$85,4,Tackles,Tackles,1.8330000000000002,0.3330000000000002,Wheelo neutral,True,11.899999999999991,85.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Touk Miller,Marks Over,Over,1.5,1.20,Bet Right,53.8,$70,3,Marks,Marks,4.4085,2.9085,Wheelo strong support,True,13.999999999999996,70.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Patrick Lipinski,Tackles Over,Over,1.5,1.25,SportsBet,53.7,$60,2,Tackles,Tackles,2.8012,1.3012000000000001,Wheelo strong support,True,15.0,60.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Sam Butler,Tackles Over,Over,5.5,1.81,Unibet,53.7,$35,1,Tackles,Tackles,3.3335,-2.1665,Wheelo strong against,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Jack Sinclair,Tackles Over,Over,1.5,1.26,SportsBet,53.6,$60,3,Tackles,Tackles,2.5465,1.0465,Wheelo strong support,True,15.600000000000001,60.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Dayne Zorko,Tackles Over,Over,3.5,2.30,Unibet,53.6,$30,4,Tackles,Tackles,2.99,-0.5099999999999998,Wheelo lean against,True,38.99999999999999,30.0
