captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,stat,market_bucket,captured_qi_tier,wheelo_projection,season_projection,last5_projection,last10_projection,dynamic_sigma,probability_model,model_stat_edge,model_support,model_probability,market_implied_probability,model_edge,model_qi_num,model_qi_tier,bet_rule,win,profit
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Leo Lombard,Disposals Over,Over,14.5,1.85,Dabble AU,73.6,$35,15,Disposals,Disposals,QI 70-79,13.785,13.545,14.4,13.4,5.695,normal_cc,-0.715,Model neutral,0.45,0.5405,-0.0905,50.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Ryan Angwin,Disposals Over,Over,14.5,1.85,Dabble AU,73.6,$35,12,Disposals,Disposals,QI 70-79,16.848,17.0,16.5,17.0,5.662,normal_cc,2.348,Model lean support,0.6608,0.5405,0.1203,79.5,QI 70-79,B_BET,False,-0.5
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Connor MacDonald,Disposals Over,Over,19.5,1.55,TAB,73.4,$45,20,Disposals,Disposals,QI 70-79,20.114,20.455,19.4,20.5,5.72,normal_cc,0.614,Model neutral,0.5427,0.6452,-0.1024,49.3,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Harrison Himmelberg,Disposals Over,Over,14.5,1.33,Dabble AU,73.3,$55,19,Disposals,Disposals,QI 70-79,16.802,16.6,17.2,16.6,5.622,normal_cc,2.302,Model lean support,0.6589,0.7519,-0.093,58.2,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,James Sicily,Disposals Over,Over,19.5,1.95,TAB,73.3,$35,23,Disposals,Disposals,QI 70-79,20.541,21.1,19.5,20.889,5.841,normal_cc,1.041,Model lean support,0.5707,0.5128,0.0579,73.3,QI 70-79,LEAN,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jesse Hogan,Goal Scorer Anytime,Over,0.5,1.08,PointsBet (AU),72.7,$110,3,Goals_Avg,Goals,QI 70-79,1.443,1.429,1.5,1.429,0.892,poisson,0.943,Model strong support,0.7638,0.9259,-0.1621,56.3,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bailey Humphrey,Disposals Over,Over,14.5,1.62,Dabble AU,72.2,$40,15,Disposals,Disposals,QI 70-79,13.031,13.625,12.2,13.429,5.986,normal_cc,-1.469,Model lean against,0.4031,0.6173,-0.2142,29.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Zach Guthrie,Disposals Over,Over,14.5,1.62,Dabble AU,72.2,$40,18,Disposals,Disposals,QI 70-79,17.696,17.273,18.6,17.2,5.78,normal_cc,3.196,Model strong support,0.7098,0.6173,0.0926,84.8,QI 80-89,A_BET,True,0.62
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bailey Humphrey,Goals Scored Over,Over,1.5,2.65,Dabble AU,72.0,$25,4,Goals_Avg,Goals,QI 70-79,0.81,1.0,0.8,0.571,0.967,negative_binomial,-0.69,Model strong against,0.1988,0.3774,-0.1786,18.6,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Mac Andrew,Disposals Over,Over,14.5,2.15,Dabble AU,71.7,$30,26,Disposals,Disposals,QI 70-79,18.468,18.091,20.0,17.3,6.003,normal_cc,3.968,Model strong support,0.7457,0.4651,0.2806,93.5,QI 90+,A_BET,True,1.15
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Nick Watson,Goals Scored Over,Over,1.5,2.20,Dabble AU,71.6,$30,2,Goals_Avg,Goals,QI 70-79,2.515,2.545,2.4,2.6,0.887,poisson,1.015,Model strong support,0.7158,0.4545,0.2612,90.5,QI 90+,A_BET,True,0.6
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Mabior Chol,Goals Scored Over,Over,1.5,2.30,TAB,71.3,$30,2,Goals_Avg,Goals,QI 70-79,1.249,1.333,1.0,1.2,0.966,poisson,-0.251,Model strong against,0.355,0.4348,-0.0798,28.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Daniel Rioli,Disposals Over,Over,14.5,1.20,Dabble AU,71.2,$70,24,Disposals,Disposals,QI 70-79,20.612,19.909,22.4,19.5,6.065,normal_cc,6.112,Model strong support,0.8432,0.8333,0.0099,76.5,QI 70-79,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Blake Hardwick,Disposals Over,Over,14.5,1.53,Dabble AU,70.6,$45,12,Disposals,Disposals,QI 70-79,17.093,17.182,16.4,17.7,5.735,normal_cc,2.593,Model lean support,0.6744,0.6536,0.0208,69.6,QI 60-69,LEAN,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Alex Davies,Disposals Over,Over,14.5,1.42,Dabble AU,69.9,$50,17,Disposals,Disposals,QI 60-69,15.426,16.167,13.0,16.0,6.372,normal_cc,0.926,Model neutral,0.5578,0.7042,-0.1465,44.9,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bodhi Uwland,Disposals Over,Over,14.5,1.46,Dabble AU,69.8,$45,19,Disposals,Disposals,QI 60-69,24.557,24.364,24.4,24.9,5.586,normal_cc,10.057,Model strong support,0.9641,0.6849,0.2792,93.5,QI 90+,A_BET,True,0.46
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bradley Close,Goal Scorer Anytime,Over,0.5,1.72,TAB,69.1,$40,0,Goals_Avg,Goals,QI 60-69,1.035,0.889,1.2,1.0,0.943,poisson,0.535,Model strong support,0.6448,0.5814,0.0634,78.8,QI 70-79,LEAN,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Massimo D'Ambrosio,Disposals Over,Over,14.5,1.33,Dabble AU,68.9,$55,17,Disposals,Disposals,QI 60-69,19.675,19.0,20.8,19.2,5.894,normal_cc,5.175,Model strong support,0.81,0.7519,0.0582,81.3,QI 80-89,A_BET,True,0.33
